,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Ixtapa,MX,20.7,-105.2,76.23,95,10,4.0,clear sky
323,Hualmay,PE,-11.0964,-77.6139,60.93,86,35,6.87,scattered clouds
324,Pangnirtung,CA,66.1451,-65.7125,29.28,58,0,5.99,clear sky
325,Kapit,MY,2.0167,112.9333,85.03,70,99,2.01,light rain
326,Yagodnoye,RU,62.55,149.6667,34.92,76,76,1.52,broken clouds
327,Scranton,US,41.409,-75.6624,54.25,94,1,0.0,clear sky
328,Gazanjyk,TM,39.2446,55.5154,90.99,20,0,3.98,clear sky
329,Novyy Urgal,RU,51.0736,132.5642,55.89,65,100,3.71,overcast clouds
330,Itororo,BR,-15.1169,-40.0703,62.02,94,67,3.24,broken clouds
331,Aklavik,CA,68.2191,-135.0107,31.03,91,100,2.98,overcast clouds
332,Tuatapere,NZ,-46.1333,167.6833,50.83,91,91,8.68,overcast clouds
333,Stavern,NO,59.0,10.0333,52.3,77,77,3.74,broken clouds
334,Myrtle Beach,US,33.6891,-78.8867,64.04,83,0,1.01,clear sky
335,Coquimbo,CL,-29.9533,-71.3436,51.53,93,20,1.14,few clouds
336,Tortoli,IT,39.9256,9.6572,75.81,73,20,2.3,few clouds
337,Hope Mills,US,34.9704,-78.9453,58.35,87,1,4.61,clear sky
338,Partur,IN,19.6,76.2167,84.13,65,62,4.34,light rain
339,Bethanien,NA,-26.502,17.1583,73.72,14,0,3.31,clear sky
340,Itanhem,BR,-17.1664,-40.33,64.76,81,100,2.28,overcast clouds
341,Port-Gentil,GA,-0.7193,8.7815,76.96,94,90,6.91,light rain
342,Geraldton,AU,-28.7667,114.6,75.61,46,3,24.16,clear sky
343,Foix,FR,42.8333,1.5833,52.92,59,61,1.39,broken clouds
344,Mitsamiouli,KM,-11.3847,43.2844,84.49,54,40,13.8,scattered clouds
345,Teguldet,RU,57.3064,88.1667,39.74,71,100,8.3,overcast clouds
346,Richards Bay,ZA,-28.783,32.0377,74.17,65,33,10.63,scattered clouds
