City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
73,Mananjary,MG,76.15,scattered clouds,-21.2167,48.3333,Vahiny Lodge
86,La Asuncion,VE,80.08,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
94,Coahuayana,MX,76.82,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
99,Betong,TH,88.92,overcast clouds,5.7743,101.0723,New Cathay Hotel
111,Marawi,PH,75.65,light rain,7.9986,124.2928,Derogongan Residence
114,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
115,Merida,MX,78.03,overcast clouds,20.9667,-89.6167,Hotel Nacional Mérida
117,Natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
123,Pundaguitan,PH,84.07,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
127,Zhangye,CN,77.9,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
130,Takoradi,GH,76.37,overcast clouds,4.8845,-1.7554,Raybow International Hotel
132,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
133,Matara,LK,87.67,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
135,Ambulu,ID,85.5,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
149,Buala,SB,81.1,light rain,-8.145,159.5921,Maringe Lagoon Lodge
150,Birjand,IR,82.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
151,Rio Linda,US,78.53,clear sky,38.691,-121.4486,Lees bed and breakfast
156,Garowe,SO,88.16,scattered clouds,8.4054,48.4845,Curubo Hotel
162,Kuala Terengganu,MY,89.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
164,Sinazongwe,ZM,75.87,few clouds,-17.2614,27.4618,Lakeview Lodge
165,Mandvi,IN,84.42,overcast clouds,22.8333,69.3667,Jitendra Guest House
172,Hithadhoo,MV,84.09,overcast clouds,-0.6,73.0833,Scoop Guest House
174,Bodden Town,KY,82.92,few clouds,19.2833,-81.25,Will T Place
178,Souillac,MU,76.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
183,Ewa Beach,US,80.55,light rain,21.3156,-158.0072,Uncle Junior Robert
184,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
186,Hasaki,JP,86.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
191,Kavieng,PG,81.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
196,Nara,JP,85.32,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
197,San Lawrenz,MT,76.86,overcast clouds,36.0553,14.204,San Andrea Hotel
199,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
200,Pemangkat,ID,85.19,overcast clouds,1.1667,108.9667,Ramah Kost KITA
201,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
203,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
204,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
209,Komsomolskiy,UZ,78.22,clear sky,40.4272,71.7189,Ikathouse
211,Bengkulu,ID,82.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
214,Camajuani,CU,75.34,light rain,22.4833,-79.75,Hostal Villuendas 75
218,Tual,ID,79.3,broken clouds,-5.6667,132.75,Grand Vilia Hotel
221,Dicabisagan,PH,87.1,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
